,Area,Type,Price,Apartment Name
0,"Tembhode, Palghar",2 BHK Apartment,28.49 L - 39.59 L,Nisarg Shrushti Phase 1
1,"Amba Wadi, Palghar",1 BHK Apartment,12.62 L - 14.15 L,Saraswati Mateshwari Complex
2,"Bachu Bhai Dube Industrial Estate, Palghar","1, 2 BHK Apartments",24.05 L - 31.82 L,Rajesh Mahavir Gyan
3,"Haranwali, Palghar","1, 2 BHK Apartments",15.74 L - 22.2 L,Laxmi Complex
4,"Bachu Bhai Dube Industrial Estate, Palghar","1, 2 BHK Apartments",Price on Request,Rajesh Mahavir Chhaya
5,"Haranwali, Palghar","1, 2 BHK Apartments",18.89 L - 27.59 L,Aditya Shail Kunj
6,"Haranwali, Palghar",2 BHK Apartment,Price on Request,Ipsit Sweet Home Building 1
7,"Saphale, Palghar","2, 3 BHK Apartments",Price on Request,Prem Indraprastha 4
8,"Haranwali, Palghar",1 BHK Apartment,16.8 L,Sai Pooja Satyam Enclave
9,"Boisar, Palghar","1, 2, 3 BHK Apartments",22.42 L - 34.2 L,Sai Rydam Vibrant Homes
10,"Vishnu Nagar, Palghar","1 RK, 1, 2 BHK Apartments",12.24 L - 23.11 L,Key Homes Krushna Kunj
11,"Mahim, Palghar","1, 2 BHK Apartments",11.33 L - 17.53 L,Aditya Shail Pushp
12,"Shelwadi, Palghar","1, 2 BHK Apartments",19.84 L - 33.34 L,Amal Maple Terraces
13,"Boisar, Palghar","1, 2, 3 BHK Apartments",22.42 L - 34.2 L,SML Krisha Apartment - 2
14,"Juna Palghar, Palghar",1 BHK Apartment,14.5 L,Bafna Iris &amp; Ivy
15,"Shelwadi, Palghar",1 BHK Apartment,17.25 L - 18.2 L,Axis Maple Terraces Building No B 11
16,"Vajulsar, Palghar",1 BHK Apartment,17.12 L,FIA Pratham
17,"Allyali, Palghar","1, 2 BHK Apartments",8.41 L - 15.35 L,Shree Balaji Shyam Regency Phase 2
18,"Gothan Pura, Palghar",1 BHK Apartment,15.66 L,Oswal Lifespaces
19,"Saphale, Palghar","1 RK, 1 BHK Apartments",9.38 L - 13.75 L,Krisha Phalguni
20,"Vishnu Nagar, Palghar","1, 2 BHK Apartments",Price on Request,Swastik Majithia Swastik Galaxy
21,"Haranwali, Palghar","1 RK, 1 BHK Apartments",15.98 L - 25.57 L,Mangalam Gokul Grand IV
22,"Virendra Nagar, Palghar","1, 2 BHK Apartments",19.5 L - 29.31 L,Riddhi Siddhi Greens Gardenia Phase 1
23,"Dhansar, Palghar","1 RK, 1 BHK Apartments",8.56 L - 13.2 L,Nirlon Serene
24,"Haranwali, Palghar","1 RK, 1 BHK Apartments",14.03 L - 19.0 L,Mangalam Gokul Grand 03
25,"Dhansar, Palghar","1, 2 BHK Apartments",15.26 L - 22.96 L,Nirmaan Arcade
26,"Dhansar, Palghar","1, 2 BHK Apartments",Price on Request,Sai Paradise
27,"Vevoor, Palghar","1, 1.5, 2 BHK Apartments",14.7 L - 19.5 L,Yash Park
28,"Dhansar, Palghar","1, 2 BHK Apartments",13.64 L - 21.06 L,Prathmesh Sai Yash Complex
29,"Dhansar, Palghar","1, 2 BHK Apartments",19.7 L - 28.25 L,Kotak Golden Eye
30,"Boisar, Palghar","1, 2, 3 BHK Apartments",20.96 L - 36.3 L,Shree Mahalaxmi Vinay Residency
31,"Tembhode, Palghar","1, 2 BHK Apartments",15.48 L - 19.98 L,Nest Leaf
32,"Dhansar, Palghar",1 BHK Apartment,14.95 L - 21.75 L,Sai Paradise
33,"Makane Kapase, Palghar","1 RK, 1 BHK Apartments",Price on Request,Lifestyle Arcade
34,"Dhansar, Palghar","1, 2 BHK Apartments",15.32 L - 24.02 L,Angel Aishwarya Residency
35,"Tembhode, Palghar",1 BHK Apartment,16.15 L - 17.71 L,Bhavani Enclave
36,"Vevoor, Palghar",1 BHK Apartment,16.1 L,Diya Homes Indraprasth Building No. 2
37,"Saphale, Palghar","1, 2 BHK Apartments",16.7 L - 20.02 L,Kamdhenu Flora
38,"Tembhode, Palghar",1 BHK Apartment,18.99 L,Ananta Vardhman Nagar
39,"Nandore, Palghar",1 BHK Apartment,Price on Request,VBHC Greenglade
40,"Tembhode, Palghar","1 RK, 1 BHK Apartments",12.45 L - 18.75 L,Angel Meadows Kanhaiya
41,"Saphale, Palghar","1, 2 BHK Apartments",14.25 L - 22.25 L,Nine Kritika
42,"Vishnu Nagar, Palghar","1 RK, 1, 2 BHK Apartments",12.43 L - 23.08 L,Mangalam Group Gokul Galaxy-ll
43,"Juna Palghar, Palghar","1 RK, 1 BHK Apartments",13.67 L - 25.57 L,Mangalam Gokul Grand 2
44,"Vevoor, Palghar",2 BHK Apartment,30.0 L - 49.93 L,S B Siddhivinayak Residency
45,"Zanzroli, Palghar",1 BHK Apartment,Price on Request,Minakshi Apartment
46,"Nandore, Palghar",1 BHK Apartment,Price on Request,VBHC Greendew
47,"Saphale, Palghar","1 RK, 1 BHK Apartments",8.75 L - 14.5 L,Fair Deal Krishn Kunj
48,"Vevoor, Palgarh District",1 BHK Apartment,12.93 L - 17.74 L,Prathmesh Radha Heritage
49,"Tembhode, Palghar","1, 2 BHK Apartments",16.82 L - 22.48 L,Sai Paradise
50,"Haranwali, Palghar","1, 2 BHK Apartments",18.77 L - 34.43 L,Ipsit Sweet Home
51,"Vevoor, Palgarh District","1, 1.5 BHK Apartments",13.49 L - 20.18 L,Viva Swarangan
52,"Haranwali, Palghar",1 BHK Apartment,18.36 L,Fia Orchid
53,"Haranwali, Palghar","1 RK, 1 BHK Apartments",13.94 L - 17.62 L,Ipsit Navoday
54,"Makane Kapase, Palghar","1, 2 BHK Apartments",17.78 L - 23.52 L,Shree Star Imperia Park
55,"Damkhind, Palghar","1, 2 BHK Apartments",15.95 L - 26.1 L,CRD Gardenia Apartments 1
56,"Bachu Bhai Dube Industrial Estate, Palghar",1.5 BHK Apartment,24.86 L,Mangalam Gokul Residency - II
57,"Vishnu Nagar, Palghar",1 BHK Apartment,18.21 L - 21.46 L,Mangalam Gokul Pride
58,"Tembhode, Palghar",1 BHK Apartment,20 L - 21.44 L,Prithvi Srishti
59,"Dhansar, Palghar",1 BHK Apartment,17 L,Phoenix Solar City
60,"Shelwadi, Palghar",2 BHK Apartment,23.3 L - 25.0 L,Axis Maple Terraces Building No A 15
61,"Saphale, Palghar","1, 2 BHK Apartments",15.39 L - 19.44 L,Sai Mudra Purva Apartment
62,"Saphale, Palghar",1 BHK Apartment,15.5 L,JVP Shiv Kutir
63,"Tembhode, Palghar","1, 2 BHK Apartments",20.42 L - 28.12 L,Swastik Indraprasth Complex
64,"Juna Palghar, Palghar","1 RK, 1, 1.5, 2.5 BHK Apartments",13.52 L - 35.12 L,Kishore Giriraj Darshan
65,"Vevoor, Palghar",1 BHK Apartment,Price on Request,Shrinathji Heights
66,"Tembhode, Palghar","1, 2 BHK Apartments",16.79 L - 23.49 L,KK Crystal Park Phase II
67,"Dhansar, Palghar","1 RK, 1, 2 BHK Apartments",16.0 L - 35.0 L,Ipsit Navoday Phase 5
68,"Vajulsar, Palghar",1 BHK Apartment,16.17 L,Fia Leela
69,"Vevoor, Palghar",1 BHK Apartment,11.57 L - 13.21 L,Saffron Paradise
70,"Boisar, Palghar","1, 2 BHK Apartments",19.2 L - 29.7 L,Pragati Aster
71,"Saphale, Palghar",1 BHK Apartment,Price on Request,Shamiks Ashtavinayak First Phase
72,"Boisar, Palghar","1, 2 BHK Apartments",20.48 L - 31.68 L,Pragati Tulip
73,"Haranwali, Palghar","1 RK, 1 BHK Apartments",9.36 L - 13.27 L,THDC Ambrosia Building 8
74,"Vevoor, Palghar",1 BHK Apartment,10.8 L - 15.3 L,Shree Balaji Krupa
75,"Boisar, Palghar",1 BHK Apartment,19.84 L,Shadawal Impressions
76,"Vajulsar, Palghar",1 BHK Apartment,15.12 L,Nirmal Plaza
77,"Vevoor, Palghar","1, 2 BHK Apartments",Price on Request,Pravinkumar Lalchand Jain Anant Aakash
78,"Vevoor, Palghar","1 RK, 1 BHK Apartments",8.65 L - 13.76 L,S R Ruby Enclave
79,"Boisar, Palghar","1, 2 BHK Apartments",18.6 L - 24 L,Sugandhi Om Sai Complex
80,"Dhansar, Palghar","1 RK, 1, 2 BHK Apartments",16.5 L - 35.0 L,Ipsit Navoday Phase 1
81,"Dhansar, Palghar","1 RK, 1, 2 BHK Apartments",13.5 L - 30.0 L,Ipsit Navoday Phase 2
82,"Tembhode, Palghar","1 RK, 1 BHK Apartments",Price on Request,Unnatti Anmol
83,"Haranwali, Palghar","1 RK, 1, 2, 3 BHK Apartments",9.08 L - 31.85 L,HDIL Paradise City Sector 2
84,"Boisar, Palghar",1 BHK Apartment,19.8 L - 20.94 L,Trimurti Dev Avenue
85,"Haranwali, Palghar",1 BHK Apartment,7.9 L,Karrm Brahmaand
86,"Tembhode, Palghar","1, 2 BHK Apartments",Price on Request,Siddhidata Padmavati Residency I
87,"Vishnu Nagar, Palghar","1, 2 BHK Apartments",Price on Request,Fia Avighna
88,"Palghar, Palghar","1, 2 BHK Apartments",12.53 L - 19.38 L,Parshv Glory
89,"Tembhode, Palghar",2 BHK Apartment,24.5 L,Bafna Orchid
90,"Tembhode, Palghar","1, 2 BHK Apartments",16.5 L - 18 L,Subhash Ghodela Homes
91,"Tembhode, Palghar","1, 2 BHK Apartments",17.48 L - 22.62 L,KK Crystal Park Phase III
92,"Vevoor, Palghar","1 RK, 1 BHK Apartments",Price on Request,Pravinkumar Lalchand Jain Kiran Kunj
93,"Tembhode, Palghar",1 BHK Apartment,19.64 L,Kotak Kunj
94,"Dhansar, Palghar","1, 2 BHK Apartments",Price on Request,Nirmaan Residency
95,"Dhansar, Palghar","1 RK, 1, 2 BHK Apartments",16.5 L - 42.0 L,Ipsit Navoday Phase 3
96,"Tembhode, Palghar",1 BHK Apartment,Price on Request,Prithvi Srushti Phase 1
97,"Vishnu Nagar, Palghar",1 BHK Apartment,17.36 L - 21.39 L,HP Life Ghar Sa
98,"Boisar, Palghar","1, 2 BHK Apartments",18.02 L - 26.03 L,Moti Mishri Roop Rajat Residency Phase 2
99,"Tembhode, Palghar","2, 3 BHK Apartments",21.21 L - 31.7 L,Nest Residency Buldg 2
100,"Shelwadi, Palghar",1 BHK Apartment,Price on Request,Axis Maple Terraces Building No B 10
101,"Tembhode, Palghar","1 RK, 1, 2 BHK Apartment, Studio Apartments",8.4 L - 21.7 L,Maruti Chandrika Apartment
102,"Tembhode, Palghar",1 BHK Apartment,12.32 L - 13.16 L,Vastusrushti Nirvana
103,"Juna Palghar, Palghar","1, 2 BHK Apartments",10.53 L - 20.39 L,Maruti Rajaendra Nagar
104,"Mahim, Palghar","1 RK, 1 BHK Apartments",8.54 L - 12.59 L,THDC Ambrosia Building 3
105,"Juna Palghar, Palghar","1 RK, 1, 2 BHK Apartments",8.92 L - 17.86 L,HDIL Paradise City Sector 3
106,"Vishnu Nagar, Palghar","1, 2 BHK Apartments",Price on Request,Vaili Sazia Apartment
107,"Haranwali, Palghar","1, 2 BHK Apartments",9.44 L - 17.58 L,White Moreshwar Apartments
108,"Tembhode, Palghar","2, 3 BHK Apartments",21.21 L - 31.7 L,Nest Nest Residency
109,"Juna Palghar, Palghar","1, 2 BHK Apartments",12.1 L - 18.33 L,HDIL Paradise City Sector 4
110,"Vevoor, Palgarh District","1 RK, 1 BHK Apartments",Price on Request,Shilpa Heramb Villa
111,"Haranwali, Palghar","1, 2 BHK Apartments",12.97 L - 18.7 L,Shree Krishna Residency
112,"Tembhode, Palghar",1 BHK Apartment,18.36 L,Fia Prangan
113,"Tembhode, Palghar","1, 2 BHK Apartments",23.94 L - 35.28 L,KK Crystal Park
114,"Bachu Bhai Dube Industrial Estate, Palghar","1 RK, 1, 2 BHK Apartments",Price on Request,Nemi Nitya Darshan
115,"Haranwali, Palghar","1, 2 BHK Apartments",11.73 L - 17.86 L,HDIL Paradise City Sector 1 Palghar
116,"Juna Palghar, Palghar",1 BHK Apartment,Price on Request,Orient Vidya Nagar 
117,"Vishnu Nagar, Palghar",1 BHK Apartment,Price on Request,Pragati Radha Heritage
118,"Haranwali, Palghar","1, 2 BHK Apartments",18 L - 26.7 L,Satya Shardha kunj
119,"Juna Palghar, Palghar","1, 2, 3 BHK Apartments",12.84 L - 27.22 L,HDIL Paradise City Sector 6
120,"Haranwali, Palghar","1, 2 BHK Apartments",17.61 L - 33.15 L,Suvidha Bafna Meadows Phase 1
121,"Vevoor, Palghar",1 BHK Apartment,10.43 L,Urmi Nikunj Apartments
122,"Vevoor, Palghar","1, 2 BHK Apartments",Price on Request,KK Supreme Point Phase I
123,"Dhansar, Palghar","1, 2 BHK Apartments",17.08 L - 21.56 L,Shyam Regency
124,"Haranwali, Palghar",1 BHK Apartment,17.5 L,Aadharshila Aadharshila Sapphire
125,"Juna Palghar, Palghar",1 BHK Apartment,7.35 L - 13.38 L,HDIL Paradise City Sector 5
126,"Tembhode, Palghar","1, 2 BHK Apartments",16.25 L - 24.5 L,Bafna Lavender
127,"Vevoor, Palghar",1 BHK Apartment,18.53 L,Aarti Priti Heights
128,"Tembhode, Palghar","1 RK, 1, 2 BHK Apartments",8.12 L - 19.33 L,Brright Tulip Residency
129,"Vevoor, Palghar",1 BHK Apartment,13.0 L,Agora One
130,"Tembhode, Palghar","1, 2 BHK Apartments",12.59 L - 18.42 L,Supertech Skybell
131,"Mahim, Palghar","1 RK, 1 BHK Apartments",8.54 L - 12.66 L,THDC Ambrosia Building 2
132,"Tembhode, Palghar","1, 2, 3 BHK Apartments",Price on Request,KK Cresent Point
133,"Vevoor, Palghar","1 RK, 1 BHK Apartments",Price on Request,Rishabh Shreeji Apartment
134,"Haranwali, Palghar","1 RK, 1 BHK Apartments",10.13 L - 15.09 L,Magnus Vakratunda
135,"Vishnu Nagar, Palghar",1 BHK Apartment,15.52 L - 16.82 L,Shree Balaji Enclave
136,"Boisar, Palghar","1, 2, 3 BHK Apartments",21.87 L - 28.53 L,Rander Krishna Residency
137,"Haranwali, Palghar",1 BHK Apartment,17.28 L,Fia Valencia
138,"Vevoor, Palgarh District","1 RK, 1 BHK Apartments",7.17 L - 10.41 L,S K Sai Shraddha Enclave
139,"Tembhode, Palghar","1, 2 BHK Apartments",33.15 L - 43.65 L,Nest Nest Oro
140,"Haranwali, Palghar",2 BHK Apartment,30.28 L,Shrikrishna Heritage
141,"Allyali, Palghar",1 BHK Apartment,19.18 L - 21.76 L,ARSC Evergreen Apartment
142,"Vevoor, Palghar",1 BHK Apartment,Price on Request,ANS Signature B Bliss
143,"Makane Kapase, Palghar","1, 2 BHK Apartments",13.75 L - 16.25 L,Krisha Vishakha
144,"Vevoor, Palghar","1, 2 BHK Apartments",Price on Request,Decent Cello Decent Homes Phase 2
145,"Makane Kapase, Palghar","1, 2 BHK Apartments",16.49 L - 22.49 L,Sai Mudra Nine Star Residency (Purva)
146,Palghar,"1, 2, 3 BHK Apartments",25.0 L - 55.0 L,Wings Countryside Farms
147,"Boisar, Palghar","1, 2 BHK Apartments",17.01 L - 20.25 L,Devraj Darshan Enclave
148,"Boisar, Palghar","1, 2 BHK Apartments",16.81 L - 21.4 L,4S Renuka Apartment
149,"Boisar, Palghar","1, 2 BHK Apartments",17.55 L - 25.67 L,Roop Residency
150,"Haranwali, Palghar",1 BHK Apartment,19.25 L,Mateshwari Mahavir Dham
151,"Juna Palghar, Palghar","1 RK, 1 BHK Apartments",12.33 L - 22.3 L,Pritesh Sriji Apartment
152,"Haranwali, Palghar","1, 2 BHK Apartments",Price on Request,Satya Space Sharda Krupa
153,"Satpati, Palghar","1, 3 BHK Apartments",13.51 L - 50.87 L,Kotak Golden Eye Phase III
154,"Mahim, Palghar","1 RK, 1 BHK Apartments",Price on Request,A 1 Aashta
155,"Juna Palghar, Palghar","1, 2 BHK Apartments",14.5 L - 21.5 L,Bafna Blossom
156,"Tembhode, Palghar","1, 2 BHK Apartments",26.51 L - 36.5 L,Zenith Sai Darshan
157,"Tembhode, Palghar","1, 2 BHK Apartments",19.18 L - 28 L,Maruti Shivam Apartment
158,"Haloli, Palghar","1 RK, 1 BHK Apartments",13.07 L - 33.78 L,XL Heaven Hills
159,"Juna Palghar, Palghar","1, 1.5, 2 BHK Apartments",18.66 L - 28.81 L,Arron Complex Phase 1
160,"Vishnu Nagar, Palghar","1, 2 BHK Apartments",Price on Request,Dreams Valley
